predicted_class,confidence_score,finetuned_embedding,video,frame,fp_type,has_gt,actual_class,model_path,threshold
TVA Collar,0.85316145,[0.00820588 0.04646175 0.034627   ... 0.014673   0.00799824 0.02379477],Scenes 021-040__234A-2-_20230815192229849.mp4,167,FP,True,TVA Collar,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's horned headpiece,0.8527031,[0.00144908 0.02846367 0.00706368 ... 0.00190858 0.02177298 0.01227377],Scenes 001-020__201E-2-_20230728112604212.mp4,35,FP,True,Sylvie's horned headpiece,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.8526363,[0.00218762 0.00076191 0.02046216 ... 0.01614666 0.0466214  0.01532575],Scenes 021-040__237B-1-_20230815180326204.mp4,205,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8514981,[0.00968681 0.00737926 0.0049741  ... 0.00118845 0.04267725 0.01719034],Scenes 001-020__509-3_20230815200533637.mp4,43,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
TimeSpear,0.84796107,"[1.0534589e-03 7.6428398e-05 2.9834548e-02 ... 4.7390563e-03 0.0000000e+00
 2.4134717e-03]",Scenes 021-040__137E-1-_20230815175038515.mp4,86,FP,True,TimeSpear,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Variant uniform,0.8436705,[0.01723618 0.02130494 0.00431833 ... 0.00088067 0.01210463 0.02185865],Scenes 001-020__201L-1-_20230728112628503.mp4,97,FP,True,Loki's Variant uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
Aligator Loki Plushie,0.84212035,"[4.1860461e-05 2.8039102e-02 4.1497186e-02 ... 5.1742424e-03 4.6039093e-04
 5.0673570e-04]",Scenes 001-020__319-9_20230815201611576.mp4,28,FP,True,Aligator Loki Plushie,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Prisoner Uniform,0.84172267,[0.02231942 0.06739431 0.02970342 ... 0.00163819 0.00755077 0.0196166 ],Scenes 001-020__207A-1-_20230815182030372.mp4,61,FP,True,TVA Prisoner Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.84031606,"[7.3759409e-05 1.7036725e-02 4.4629397e-03 ... 5.3644576e-03 2.2791501e-02
 2.2506926e-02]",Scenes 041-060__156-5a- only pu_20230815181240389.mp4,173,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Aligator Loki Plushie,0.8387626,[0.00029019 0.01996323 0.05265356 ... 0.01863731 0.00576538 0.00079141],Scenes 021-040__440H-2b-_20230816031331933.mp4,55,FP,True,Aligator Loki Plushie,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Prisoner Uniform,0.83875155,[0.00888127 0.06028975 0.02664826 ... 0.01270259 0.00553954 0.03875005],Scenes 041-060__244A-7- pu_20230815211729392.mp4,13,FP,True,TVA Prisoner Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Armor,0.83799964,[0.01188613 0.01029302 0.05322374 ... 0.00658231 0.00697034 0.01679154],Scenes 021-040__237B-1-_20230815180326204.mp4,159,FP,True,Loki's Armor,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Variant uniform,0.8361431,[0.0107455  0.00429705 0.00724364 ... 0.00649479 0.00866695 0.01817145],Scenes 001-020__220D-2-_20230815190723523.mp4,72,FP,True,Loki's Variant uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.83440924,[0.00038974 0.00720756 0.03338936 ... 0.01224899 0.03875433 0.02075386],Scenes 021-040__226A-1-_20230815185254846.mp4,119,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's Armor,0.83276576,[0.03312248 0.04651474 0.02206764 ... 0.0200769  0.00150727 0.01024585],Scenes 061-080__265G-3-_20230815215442372.mp4,79,FP,True,Sylvie's Armor,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8276952,[0.00035794 0.02318195 0.00539406 ... 0.0027529  0.03396536 0.03318027],Scenes 001-020__213-3-_20230815180738197.mp4,76,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Variant uniform,0.82745975,[0.01938208 0.0277289  0.00399163 ... 0.00353022 0.02212739 0.01714172],Scenes 001-020__106D-5-_20230815151758589.mp4,83,FP,True,Loki's Variant uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8267585,[0.00069905 0.01238749 0.00221445 ... 0.00389177 0.03929134 0.01936677],Scenes 021-040__222-2-_20230815185458410.mp4,58,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's dagger,0.82269895,[0.00428826 0.00857653 0.03051295 ... 0.00693796 0.00688631 0.02278391],Scenes 021-040__221-4-_20230815180803766.mp4,100,FP,True,Loki's dagger,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8196428,[0.00022326 0.00736625 0.02538748 ... 0.00285133 0.03438652 0.0284607 ],Scenes 061-080__165A-1-_20230815180241405.mp4,96,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.81951416,"[3.6826812e-05 1.0791883e-02 2.6671657e-02 ... 1.5576561e-02 4.4897839e-02
 9.0529388e-03]",Scenes 001-020__506E-1ng_b_20230816043951139.mp4,0,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Variant uniform,0.8182669,[0.00882353 0.01627171 0.00218808 ... 0.00066813 0.0221928  0.01231205],Scenes 001-020__211-1-_20230815190444533.mp4,158,FP,True,Loki's Variant uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.81818783,[0.00016784 0.01254207 0.02600754 ... 0.00131961 0.02401208 0.02461142],Scenes 061-080__165A-4-_20230815180313546.mp4,102,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
TimeSpear,0.8179847,"[5.1885587e-04 3.8040585e-03 1.0128681e-02 ... 5.6826463e-04 9.6861520e-05
 6.2868390e-03]",Scenes 001-020__303K-3-_20230815223320788.mp4,93,FP,True,TimeSpear,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Variant uniform,0.81696445,[0.03567982 0.02751451 0.00767142 ... 0.01054119 0.01408777 0.02593263],Scenes 001-020__108E-1-_20230727173710924.mp4,75,FP,True,Loki's Variant uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8168097,[0.00162374 0.00560453 0.0019996  ... 0.00165537 0.04703436 0.00859166],Scenes 021-040__536A-3-_20230816063724398.mp4,143,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Collar,0.81593597,[0.00487155 0.02289713 0.01835548 ... 0.03331245 0.00138163 0.02960126],Scenes 041-060__156D-1- mos_20230815181940173.mp4,171,FP,True,TVA Collar,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8150612,[0.00748658 0.01164389 0.01677096 ... 0.00493941 0.03334532 0.0257202 ],Scenes 041-060__156F-1-_20230815175731629.mp4,98,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's horned headpiece,0.8147656,[0.00044224 0.01398664 0.00267083 ... 0.01039659 0.05022699 0.01352267],Scenes 001-020__213-3-_20230815180738197.mp4,65,FP,True,Sylvie's horned headpiece,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.81351674,[0.01221376 0.00574225 0.02181817 ... 0.00084025 0.04083988 0.01636214],Scenes 021-040__235C-2- mos_20230815192640043.mp4,5,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Boastful Loki Armor,0.81310946,[0.01156725 0.014532   0.01330752 ... 0.00054309 0.03564648 0.00888195],Scenes 021-040__536A-3-_20230816063724398.mp4,94,FP,True,Boastful Loki Armor,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's dagger,0.8119348,"[2.3738362e-03 1.0506731e-02 3.2889958e-02 ... 3.3481305e-03 8.1425271e-05
 1.2413933e-02]",Scenes 001-020__504T-3-_20230816050753649.mp4,295,FP,True,Loki's dagger,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.81187373,[0.00598835 0.00844865 0.01412931 ... 0.01209401 0.00398045 0.0009652 ],Scenes 001-020__306E-1-_20230815201829547.mp4,65,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Collar,0.8117963,[0.0122556  0.02400825 0.02358579 ... 0.01651187 0.00066841 0.01657054],Scenes 061-080__165A-1-_20230815180241405.mp4,92,FP,True,TVA Collar,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8106575,[0.00036083 0.00999613 0.01643818 ... 0.00597299 0.02688145 0.02428247],Scenes 021-040__234A-2-_20230815192229849.mp4,171,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Aligator Loki Plushie,0.8104519,[0.         0.04128765 0.05209217 ... 0.01557451 0.02336954 0.00788177],Scenes 021-040__237B-1-_20230815180326204.mp4,164,FP,True,Aligator Loki Plushie,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Prisoner Uniform,0.80971026,[0.00522607 0.03332041 0.02947432 ... 0.0073075  0.02153469 0.01772676],Scenes 021-040__237B-1-_20230815180326204.mp4,109,FP,True,TVA Prisoner Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
TVA Collar,0.8088888,[0.00497048 0.02629405 0.01324799 ... 0.01983232 0.00585694 0.02488763],Scenes 041-060__244A-7- pu_20230815211729392.mp4,59,FP,True,TVA Collar,../alpha/quick_test_balanced/representatives.pkl,0.8
Aligator Loki Plushie,0.8084936,[0.00036343 0.01916031 0.05555327 ... 0.0147731  0.0024539  0.00216063],Scenes 001-020__306C-1-_20230815201919138.mp4,3,FP,True,Aligator Loki Plushie,../alpha/quick_test_balanced/representatives.pkl,0.8
TemPad,0.8074002,[0.00301554 0.00995314 0.01655574 ... 0.00041641 0.04031032 0.0228298 ],Scenes 001-020__110C-1-_20230728125333457.mp4,176,FP,True,TemPad,../alpha/quick_test_balanced/representatives.pkl,0.8
Ravonna Renslayer's Uniform,0.8060413,[0.00051231 0.00229225 0.0317991  ... 0.00385601 0.02403221 0.01120724],Scenes 001-020__302-2_20230815200213180.mp4,31,FP,True,Ravonna Renslayer's Uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Armor,0.8057174,[0.00116551 0.04261506 0.01896172 ... 0.01300268 0.         0.02460181],Scenes 001-020__201C-1-_20230815182005024.mp4,57,FP,True,Loki's Armor,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's dagger,0.804067,[0.00128467 0.02477706 0.06599841 ... 0.00894475 0.00132095 0.01485881],Scenes 021-040__237B-1-_20230815180326204.mp4,57,FP,True,Loki's dagger,../alpha/quick_test_balanced/representatives.pkl,0.8
Sylvie's machete,0.80298173,[0.00049426 0.00040627 0.01707106 ... 0.00639945 0.03506664 0.00674804],Scenes 001-020__314-3_20230815232058756.mp4,119,FP,True,Sylvie's machete,../alpha/quick_test_balanced/representatives.pkl,0.8
Aligator Loki Plushie,0.80261993,[0.0001688  0.05252565 0.05070224 ... 0.01620111 0.00499668 0.00585471],Scenes 001-020__306E-1-_20230815201829547.mp4,25,FP,True,Aligator Loki Plushie,../alpha/quick_test_balanced/representatives.pkl,0.8
Loki's Variant uniform,0.800305,[0.00723848 0.01851993 0.01321311 ... 0.01365018 0.05036933 0.01499713],Scenes 001-020__504K-1-_20230816050602143.mp4,28,FP,True,Loki's Variant uniform,../alpha/quick_test_balanced/representatives.pkl,0.8
